sLap,curv,theta,xi,yi
113.942176289826,-0.0296110277618493,-0.30512406558761707,105.7597558988524,-35.82058710156822
114.626356369208,-0.0376021989267488,-0.32173056318062293,106.17873171236074,-35.96023639964858
114.825448974243,-0.0400718539648805,-0.32970857297509326,106.36710054029857,-36.024696077286244
115.024541579279,-0.042587798060084,-0.34851689233308436,106.78218580891372,-36.17551676067692
115.708721658661,-0.0515031256821102,-0.3837543049506658,107.41660242352859,-36.431676749986515
116.392901738042,-0.0604532769023707,-0.41045266903634625,107.82155657956304,-36.60790044382399
116.591994343078,-0.0629924367297304,-0.4229939973624337,108.00310196193601,-36.6896264465347
116.791086948114,-0.0654742130446938,-0.45190978932047215,108.40040453757301,-36.8824821494618
117.475267027495,-0.0733441977914271,-0.5020904283875831,109.00014204450682,-37.21174997935002
118.159447106877,-0.0797701821053019,-0.5373198398299146,109.37954456822537,-37.437795071656275
118.358539711913,-0.0812892914650262,-0.553503936629177,109.54891022425657,-37.542452321462214
118.557632316948,-0.0826368742102123,-0.5899993834869194,109.91588397784952,-37.78816134232473
119.24181239633,-0.0858026248878866,-0.6487038301938546,110.46108488416276,-38.201511499912336
119.925992475711,-0.0865591384199381,-0.686931491470355,110.802556161103,-38.4815829654066
120.125085080747,-0.0863005630680422,-0.7041132953876452,110.95430173085892,-38.61046720586862
120.324177685783,-0.0858292482377773,-0.7420186106338829,111.27983449776066,-38.9089149842698
121.008357765164,-0.0825532751301546,-0.7984999169656347,111.75724305474922,-39.399000130684755
121.692537844546,-0.0767253876211046,-0.8323846365091866,112.05451472355381,-39.7256072550496
121.891630449582,-0.0745527965232213,-0.8472275469816765,112.18632666974429,-39.87481675950995
122.090723054617,-0.0721743192763448,-0.8791023493482701,112.46802120507608,-40.21495033257134
122.774903133999,-0.0623439785642874,-0.9217568575513427,112.88155433009166,-40.760012471723684
123.45908321338,-0.0502497888057059,-0.9439489904762441,113.14061573321221,-41.11768529452758
123.658175818416,-0.0463620788611465,-0.9531793375315942,113.25590907250421,-41.2799976825173
123.857268423452,-0.0423546590784187,-0.9718846942424753,113.50487885351762,-41.64476707117463
124.541448502833,-0.0279715908873544,-0.9910222995162122,113.87969658234962,-42.217142866588524
125.225628582215,-0.0135519991800491,-0.9970073548637084,114.11942478548082,-42.588051274936504
125.424721187251,-0.0095202303864938,-0.9989027623318936,114.2271787352126,-42.755463794471396
125.623813792286,-0.0056073268239246,-1.0013791616399792,114.46528311269357,-43.12741670033948
126.307993871668,0.0065095332190826,-0.9969254686854108,114.8367154993069,-43.70199512248671
126.992173951049,0.0162040843475781,-0.9897691561453084,115.07912210792604,-44.071158629427835
127.191266556085,0.0185021153004727,-0.9860855218114608,115.18901291455852,-44.23717632727263
127.390359161121,0.0205840772715976,-0.9769948452174954,115.43611542629066,-44.60321322084344
128.074539240502,0.0260789159961444,-0.9591521704010698,115.82898142171824,-45.163354891011956
128.758719319884,0.0294486997828188,-0.9461465543461745,116.08725619105842,-45.521596153685635
128.95781192492,0.0301139584620288,-0.9401510879080383,116.20465433230098,-45.68239273888761
129.156904529955,0.0306736661001495,-0.9266044822094435,116.4698801176161,-46.035518695967056
129.841084609337,0.0320502574952999,-0.9046763344921115,116.89266241489467,-46.57343830904166
130.525264688718,0.032939724725031,-0.890128954951194,117.17058938257857,-46.91665727616519
130.724357293754,0.0331746829195388,-0.8835241209074998,117.2968999063296,-47.07055177564377
130.92344989879,0.0334000355087446,-0.8687734513957839,117.58209255784298,-47.40775766272474
131.607629978171,0.0341651730783455,-0.8453983205669591,118.03600040403447,-47.9196854390646
132.291810057553,0.0348315649192478,-0.8300154356426068,118.33404503568794,-48.245587351152125
132.490902662589,0.0349910870226544,-0.8230489689742426,118.46942577702744,-48.39156652861997
132.689995267624,0.0351263046696217,-0.8075359162646496,118.77472060793215,-48.71068676455333
